google_index,ratio_digits_url,domain_in_title,phish_hints,ip,nb_qm,length_url,nb_slash,length_hostname,nb_eq,ratio_digits_host,shortest_word_host,prefix_suffix,longest_word_path,tld_in_subdomain,status
1,0.030534351,1,0,0,1,131,7,27,1,0.0,2,1,40,0,1
0,0.0,0,0,0,0,50,4,23,0,0.0,3,1,10,0,0
1,0.0,1,0,0,0,51,4,32,0,0.0,13,0,10,0,1
0,0.133333333,1,0,0,0,45,5,11,0,0.0,3,0,9,0,0
1,0.270440252,1,0,1,1,159,8,14,2,0.0,10,0,40,0,1
1,0.227272727,1,0,1,0,44,4,22,0,0.1363636359999999,3,1,7,0,1
1,0.077669903,1,0,0,1,103,4,19,1,0.0,4,0,44,0,1
1,0.0,1,0,0,0,46,5,20,0,0.0,4,0,7,0,1
0,0.0,1,0,0,0,45,4,16,0,0.0,2,0,10,0,0
1,0.0,1,0,0,0,51,5,26,0,0.0,3,0,11,0,1
1,0.0,1,0,0,0,38,4,19,0,0.0,3,0,4,0,1
1,0.283950617,1,0,1,0,81,5,27,0,0.0,3,0,32,0,1
0,0.0,1,0,0,0,112,4,31,0,0.0,10,0,11,0,0
0,0.0,1,2,0,0,39,4,16,0,0.0,5,0,9,0,1
1,0.0808080809999999,1,1,0,0,99,7,15,0,0.0,4,0,16,0,1
1,0.0,1,0,0,0,45,3,27,0,0.0,3,0,5,0,0
1,0.033333333,1,2,0,0,60,4,35,0,0.057142857,1,1,7,0,1
0,0.081081081,1,0,0,0,74,10,19,0,0.0,7,0,9,0,0
0,0.0,1,0,0,0,61,4,18,0,0.0,3,1,8,0,0
0,0.125,1,0,0,0,40,2,32,0,0.15625,1,0,0,0,1
1,0.038461538,1,0,0,0,52,4,24,0,0.0,3,0,8,0,1
1,0.0,0,0,0,0,88,4,24,0,0.0,5,0,10,0,1
0,0.027027027,1,0,0,1,74,4,12,1,0.0,8,0,10,0,0
1,0.065217391,1,0,0,0,46,4,16,0,0.0,3,1,7,0,0
0,0.0,1,0,0,0,54,4,17,0,0.0,3,0,13,0,0
1,0.0,1,1,0,0,54,6,21,0,0.0,7,1,9,0,1
1,0.0,0,0,0,0,38,4,16,0,0.0,2,0,4,0,0
0,0.0,0,0,0,0,67,5,15,0,0.0,3,0,10,0,0
1,0.0,1,2,0,0,62,7,13,0,0.0,10,1,9,0,1
1,0.06779661,1,1,0,0,59,6,17,0,0.0,13,0,8,0,1
1,0.01754386,1,0,0,0,57,3,38,0,0.026315789,4,0,5,0,1
0,0.0,0,0,0,0,32,4,12,0,0.0,8,1,7,0,0
1,0.0,1,0,0,0,46,5,25,0,0.0,3,0,7,0,1
0,0.0,0,0,0,0,37,4,16,0,0.0,2,0,7,0,0
1,0.027777778,1,0,0,0,36,2,29,0,0.034482759,8,0,0,0,1
1,0.038461538,1,1,0,0,52,7,18,0,0.0,14,0,5,0,1
1,0.25,1,0,1,0,32,3,24,0,0.333333333,8,0,0,0,1
0,0.0,1,0,0,0,34,3,11,0,0.0,7,0,14,0,0
0,0.0,1,0,0,0,27,3,19,0,0.0,3,0,0,0,0
1,0.304347826,1,3,1,0,92,8,22,0,0.0,15,1,32,0,1
0,0.058823529,1,0,0,0,102,7,12,0,0.0,3,0,22,0,0
0,0.0,1,0,0,0,32,3,23,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,29,3,20,0,0.0,3,0,0,0,0
1,0.008403361,1,3,0,1,119,9,24,0,0.0,2,1,13,0,1
0,0.06779661,1,1,0,0,59,6,21,0,0.0,3,0,8,0,0
0,0.0,1,0,0,0,54,3,19,0,0.0,15,0,8,0,0
1,0.271523179,1,0,1,0,151,3,10,0,0.0,7,0,110,0,1
0,0.035714286,1,0,0,0,84,5,25,0,0.0,3,0,8,0,0
1,0.0,1,3,0,0,55,6,10,0,0.0,3,1,8,0,1
0,0.0,0,0,0,0,18,3,9,0,0.0,6,0,0,0,0
0,0.0,0,0,0,0,39,3,16,0,0.0,3,0,14,0,0
0,0.0,1,0,0,0,28,3,19,0,0.0,3,1,0,0,0
0,0.0,1,0,0,0,32,3,16,0,0.0,3,1,4,0,0
0,0.0,0,0,0,0,16,2,9,0,0.0,4,0,0,0,0
1,0.0,1,0,0,0,23,4,12,0,0.0,8,0,2,0,1
0,0.0,1,0,0,0,29,3,21,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,29,3,20,0,0.0,3,0,0,0,1
0,0.0,1,0,0,0,41,4,15,0,0.0,3,0,11,0,0
1,0.181818182,1,0,0,0,22,3,6,0,0.0,3,0,7,0,1
1,0.038461538,1,0,0,0,52,5,14,0,0.0,3,0,7,0,1
1,0.026315789,1,0,0,0,38,6,20,0,0.0,3,0,3,0,1
0,0.0,1,0,0,0,30,3,21,0,0.0,3,0,0,0,0
1,0.105263158,1,0,1,0,76,4,50,0,0.0,3,1,15,1,1
1,0.039534884,1,3,1,2,430,21,13,10,0.7692307690000001,2,0,10,1,1
1,0.0,0,0,0,0,37,3,19,0,0.0,2,0,10,0,0
0,0.068493151,0,0,0,0,73,3,23,0,0.0,5,0,8,0,0
1,0.107142857,1,0,0,0,56,5,15,0,0.0,3,0,9,0,1
1,0.0,1,0,0,0,70,5,13,0,0.0,9,0,7,0,0
1,0.0,1,0,0,0,70,5,20,0,0.0,4,0,13,1,1
1,0.076923077,1,0,0,0,52,5,19,0,0.0,3,1,8,0,0
0,0.0,1,0,0,0,31,3,22,0,0.0,3,1,0,0,0
1,0.244444444,1,1,1,0,90,6,19,0,0.0,3,0,32,0,1
0,0.1555555559999999,1,0,1,0,45,5,15,0,0.0,3,0,7,0,0
0,0.036363636,0,0,0,0,55,4,20,0,0.05,3,0,10,0,0
1,0.076923077,1,0,0,0,65,6,12,0,0.166666667,3,0,15,0,1
1,0.073170732,1,0,0,0,41,3,33,0,0.090909091,5,1,0,1,1
1,0.169014085,1,0,1,1,71,4,25,1,0.0,6,1,7,0,1
1,0.072289157,0,1,0,1,83,7,16,1,0.0,5,0,33,0,1
1,0.342465753,1,0,1,0,73,5,18,0,0.0,14,1,32,0,1
1,0.204545455,1,0,0,0,44,3,30,0,0.1,3,0,6,0,1
0,0.052631579,1,2,0,1,114,8,16,1,0.0,3,1,16,0,1
1,0.157480315,1,0,1,1,127,4,50,3,0.0,3,1,17,1,1
0,0.070707071,1,0,0,1,99,4,20,1,0.0,3,0,44,0,1
1,0.0,1,1,0,0,56,7,20,0,0.0,3,1,7,0,1
1,0.0,0,0,0,0,51,4,17,0,0.0,3,0,12,0,0
1,0.0,1,3,0,0,51,4,14,0,0.0,7,0,7,0,1
0,0.0,0,0,0,0,40,5,24,0,0.0,3,1,3,0,0
1,0.0,1,1,0,0,33,6,14,0,0.0,3,0,5,0,1
0,0.0,0,0,0,0,88,6,20,0,0.0,7,0,9,0,0
0,0.049180328,1,0,0,0,122,5,18,0,0.0,3,0,8,0,0
0,0.0,1,0,0,0,53,4,20,0,0.0,3,0,10,0,0
1,0.086956522,1,0,0,0,46,3,37,0,0.108108108,2,1,0,1,1
1,0.0,1,0,0,0,36,2,29,0,0.0,8,0,0,0,1
0,0.0,1,0,0,0,31,3,23,0,0.0,3,0,0,0,0
0,0.0,0,0,0,0,48,6,16,0,0.0,3,0,7,0,0
1,0.0,1,1,0,1,101,5,6,3,0.0,3,0,19,0,1
0,0.0,1,0,0,0,41,4,19,0,0.0,3,0,6,0,0
1,0.093023256,1,1,0,0,43,3,35,0,0.114285714,4,0,0,0,1
0,0.0,0,0,0,0,15,2,8,0,0.0,5,0,0,0,0
1,0.071428571,1,0,0,0,42,3,10,0,0.0,3,0,9,0,0
0,0.0,0,0,0,0,51,4,15,0,0.0,11,0,7,0,0
1,0.0,1,0,0,0,48,4,27,0,0.0,2,0,4,0,1
0,0.0,1,0,0,0,49,5,19,0,0.0,15,0,8,0,0
0,0.0,1,0,0,1,25,3,13,1,0.0,3,1,1,0,1
0,0.020408163,0,0,0,0,49,5,15,0,0.0,3,0,8,0,0
0,0.020833333,0,0,0,0,48,3,25,0,0.0,7,0,6,0,0
1,0.037037037,0,3,0,1,108,6,25,0,0.0,3,1,23,0,1
1,0.0,0,0,0,0,39,4,20,0,0.0,17,0,5,0,1
1,0.0,1,0,0,0,80,5,20,0,0.0,3,0,10,0,0
1,0.0,1,0,0,0,36,3,17,0,0.0,3,0,6,0,0
0,0.0,1,0,0,0,28,3,19,0,0.0,3,1,0,0,0
1,0.060606061,1,1,0,0,33,3,14,0,0.0,3,0,10,0,1
0,0.0,0,0,0,0,23,3,14,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,77,4,18,0,0.0,3,0,9,0,0
1,0.415204678,1,1,1,0,342,5,19,4,0.0,3,0,34,0,1
1,0.131578947,1,0,0,0,38,3,29,0,0.172413793,6,1,0,0,1
1,0.0,1,2,0,0,73,4,22,0,0.0,3,0,7,0,0
0,0.0,0,0,0,0,33,4,15,0,0.0,3,0,4,0,0
1,0.0,1,0,0,0,67,6,17,0,0.0,3,0,9,0,1
1,0.051282051,0,0,0,0,39,4,18,0,0.0,5,0,9,0,0
0,0.0,0,0,0,0,24,3,15,0,0.0,3,0,0,0,0
0,0.0,0,0,0,0,26,3,17,0,0.0,3,0,0,0,0
0,0.128205128,1,0,0,0,39,6,7,0,0.0,3,0,6,0,0
1,0.35483871,1,0,1,0,62,3,22,0,0.0,3,1,32,0,1
1,0.0,1,2,0,0,41,4,13,0,0.0,9,0,6,0,1
1,0.0,1,0,0,0,40,3,31,0,0.0,8,0,0,0,1
0,0.0,1,0,0,0,51,3,26,0,0.0,3,1,7,0,0
1,0.06779661,0,0,0,0,59,5,12,0,0.0,3,0,8,0,0
0,0.0,1,0,0,0,50,5,20,0,0.0,3,0,8,0,0
1,0.057692308,1,0,0,0,52,4,25,0,0.04,2,1,18,0,1
1,0.0,1,0,0,0,43,4,15,0,0.0,11,1,7,0,1
1,0.127659574,1,0,0,0,94,5,42,0,0.071428571,8,0,7,1,1
0,0.0,0,0,0,0,60,4,15,0,0.0,3,0,15,0,0
0,0.0,0,0,0,0,18,2,11,0,0.0,6,0,0,0,0
0,0.132352941,1,1,0,1,204,5,27,2,0.0,7,0,65,0,1
0,0.159574468,0,1,1,0,94,4,24,0,0.0,5,0,19,0,1
1,0.0,1,0,0,0,41,3,33,0,0.0,3,1,0,1,1
1,0.1578947369999999,1,0,0,0,19,3,11,0,0.272727273,1,0,0,0,1
1,0.028571429,1,0,0,0,35,3,22,0,0.045454545,3,1,3,0,1
1,0.0,1,0,0,0,63,6,26,0,0.0,22,0,9,0,1
1,0.075471698,1,0,0,0,53,6,21,0,0.0,3,0,7,0,1
1,0.0,1,1,0,0,75,6,44,0,0.0,1,0,9,0,1
1,0.114285714,1,0,0,0,35,2,27,0,0.148148148,8,0,0,0,1
0,0.066666667,1,0,0,1,210,3,14,11,0.0,3,0,40,0,1
0,0.0,1,0,0,0,44,3,13,0,0.0,9,0,8,0,0
1,0.4866666670000001,1,0,1,1,150,4,40,1,0.0,3,0,88,0,1
1,0.0,1,0,0,0,39,4,22,0,0.0,3,0,4,0,1
1,0.0,1,2,0,0,64,9,15,0,0.0,3,1,6,0,1
0,0.160377358,1,0,1,1,106,7,20,1,0.0,3,0,12,0,1
0,0.0,0,0,0,0,34,4,20,0,0.0,7,0,4,0,1
0,0.0,0,0,0,0,65,4,16,0,0.0,2,0,13,0,0
1,0.033333333,1,3,0,0,60,8,14,0,0.142857143,3,1,7,0,1
1,0.0,1,0,0,0,25,4,14,0,0.0,10,0,2,0,1
0,0.128205128,1,0,0,0,39,4,21,0,0.0,3,0,5,0,0
0,0.0,0,0,0,0,38,4,15,0,0.0,3,1,5,0,0
1,0.023255814,1,0,0,1,129,6,8,5,0.0,4,0,15,0,1
0,0.0,0,0,0,0,52,5,15,0,0.0,3,1,8,0,0
1,0.3666666670000001,1,0,1,0,30,4,14,0,0.7857142859999999,2,0,7,1,1
0,0.0,1,0,0,0,33,3,24,0,0.0,9,0,0,0,0
0,0.0762711859999999,0,0,1,0,118,5,27,0,0.0,7,0,12,0,0
0,0.0,1,0,0,0,27,2,20,0,0.0,6,0,0,0,0
0,0.166666667,1,0,0,0,78,9,16,0,0.0,4,0,6,0,0
1,0.028571429,1,0,0,0,35,3,27,0,0.037037037,5,1,0,0,1
1,0.0,1,0,0,0,32,4,18,0,0.0,2,1,5,0,1
1,0.0625,1,2,0,0,64,4,39,0,0.102564103,1,0,7,0,1
1,0.078947368,1,0,0,0,38,3,29,0,0.103448276,6,1,0,0,1
0,0.0,1,0,0,0,24,3,15,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,68,5,15,0,0.0,3,0,22,0,0
1,0.166666667,1,0,1,1,126,5,50,3,0.0,3,1,17,1,1
0,0.0,0,0,0,0,41,4,16,0,0.0,2,0,6,0,0
0,0.0,0,0,0,0,48,4,16,0,0.0,2,0,6,0,0
0,0.0,1,0,0,0,29,3,21,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,24,3,15,0,0.0,3,0,0,0,0
0,0.02,1,2,0,0,50,4,17,0,0.058823529,3,0,5,0,0
1,0.119047619,1,0,1,1,126,4,50,3,0.0,3,1,17,1,1
0,0.0,0,0,0,0,39,6,11,0,0.0,3,0,8,0,0
1,0.196078431,1,3,1,0,102,9,15,0,0.0,11,1,32,0,1
0,0.064516129,1,0,0,0,31,3,23,0,0.086956522,3,0,0,0,0
1,0.279069767,1,0,1,1,86,4,22,1,0.0,3,1,32,0,1
0,0.102564103,1,0,0,0,78,8,16,0,0.0,3,0,9,0,0
0,0.0,1,0,0,0,29,3,20,0,0.0,3,0,0,0,0
0,0.212121212,0,0,1,1,33,3,12,0,0.0,3,0,7,0,0
0,0.0,1,0,0,0,27,4,12,0,0.0,3,1,6,0,1
0,0.0,1,0,0,0,24,3,15,0,0.0,3,0,0,0,0
0,0.0,0,0,0,0,39,4,20,0,0.0,3,0,9,0,0
0,0.0,1,0,0,0,28,2,21,0,0.0,3,0,0,0,0
0,0.107843137,1,0,1,1,102,3,24,2,0.0,7,0,47,0,1
1,0.0,1,0,0,0,43,4,18,0,0.0,3,0,8,0,0
0,0.0,0,0,0,0,27,3,19,0,0.0,3,0,0,0,0
0,0.079207921,0,0,0,0,101,7,17,0,0.0,4,0,11,0,0
0,0.0,1,0,0,0,60,3,28,0,0.0,3,0,10,0,0
0,0.0,1,0,0,1,38,3,13,1,0.0,3,0,5,0,0
1,0.0,1,0,0,0,19,3,10,0,0.0,6,0,0,0,1
1,0.262773723,0,0,0,0,137,4,15,0,0.0,3,0,5,0,0
1,0.1292775669999999,1,1,1,1,263,5,179,1,0.162011173,2,0,22,1,1
1,0.181818182,1,0,0,0,22,3,6,0,0.0,3,0,7,0,1
1,0.011235955,1,4,0,1,89,6,21,1,0.0,17,0,7,0,1
0,0.0,0,0,0,0,28,3,19,0,0.0,3,0,0,0,0
0,0.020408163,0,0,0,0,49,3,26,0,0.0,8,0,11,1,0
1,0.066666667,1,1,0,0,45,3,36,0,0.083333333,1,0,0,0,1
0,0.0,1,0,0,0,30,3,22,0,0.0,8,0,0,0,1
1,0.0,1,2,0,0,54,5,10,0,0.0,7,1,12,0,1
0,0.0,1,0,0,0,29,2,22,0,0.0,3,0,0,0,0
1,0.0,1,1,0,1,86,6,16,1,0.0,12,1,13,0,1
1,0.076923077,1,0,0,0,26,3,18,0,0.111111111,3,0,0,0,1
0,0.108433735,1,0,1,0,83,4,20,0,0.0,3,0,11,0,0
1,0.0,1,0,0,0,49,3,28,0,0.0,8,1,8,0,1
0,0.212121212,0,0,1,1,33,3,12,0,0.0,3,0,7,0,0
0,0.0,0,0,0,0,40,4,18,0,0.0,3,0,7,0,0
1,0.0,1,0,0,0,56,5,18,0,0.0,3,1,6,0,0
0,0.0,0,0,0,0,27,3,18,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,70,3,33,0,0.0,3,0,10,0,0
1,0.0546875,1,2,0,0,128,3,120,0,0.058333333,2,0,0,0,1
1,0.12,1,0,0,0,25,3,6,0,0.0,3,0,11,0,1
0,0.0,0,0,0,0,33,4,16,0,0.0,3,0,7,0,0
0,0.0,0,0,0,0,52,4,16,0,0.0,3,0,10,0,0
0,0.0,1,0,0,0,31,3,22,0,0.0,3,0,0,0,0
1,0.097560976,1,0,0,0,41,3,32,0,0.125,8,0,0,0,1
0,0.0,1,0,0,0,33,3,24,0,0.0,3,0,0,0,0
1,0.0,1,0,0,0,32,3,23,0,0.0,6,1,0,0,1
0,0.03030303,1,0,0,1,66,5,30,0,0.0,3,1,9,0,0
0,0.094117647,0,1,0,0,85,7,14,0,0.0,3,0,9,0,0
0,0.0,0,0,0,0,52,4,20,0,0.0,6,0,10,0,0
0,0.055045872,1,0,0,0,109,4,19,0,0.0,3,0,10,0,0
0,0.0,1,0,0,0,84,4,20,0,0.0,16,0,13,0,0
0,0.127272727,0,2,0,1,110,5,16,1,0.0,5,0,30,0,1
1,0.304093567,1,3,1,1,171,7,25,3,0.0,21,1,32,0,1
0,0.0,0,0,0,0,17,3,9,0,0.0,6,0,0,0,0
0,0.0,0,0,0,0,19,2,12,0,0.0,9,0,0,0,0
1,0.285714286,1,1,1,0,98,10,14,0,0.7857142859999999,2,0,25,1,1
1,0.0,1,0,0,0,32,3,24,0,0.0,9,0,0,0,1
0,0.0,0,0,0,0,28,2,20,0,0.0,3,0,0,0,0
1,0.03125,1,0,0,1,64,5,31,1,0.064516129,11,0,8,0,1
0,0.0,0,0,0,0,40,4,16,0,0.0,2,0,10,0,0
1,0.113636364,1,0,0,0,132,7,32,0,0.1875,2,1,46,0,1
1,0.048387097,1,0,0,1,124,7,24,1,0.0,2,1,27,0,1
1,0.0,1,1,0,0,51,6,18,0,0.0,14,0,5,0,1
1,0.290780142,1,1,1,0,141,5,48,1,0.395833333,12,0,75,1,1
1,0.126984127,1,0,1,1,126,4,50,3,0.0,3,1,17,1,1
0,0.0,1,0,0,0,21,2,14,0,0.0,7,0,0,0,0
1,0.037735849,1,0,0,0,53,6,14,0,0.0,3,0,13,0,0
0,0.0,0,0,0,0,27,3,18,0,0.0,3,0,0,0,0
1,0.276315789,1,0,1,0,76,6,14,0,0.0,11,0,32,0,1
1,0.0,1,0,0,0,79,4,32,0,0.0,3,0,10,0,0
1,0.207792208,1,0,1,0,77,5,23,0,0.0,19,0,32,0,1
0,0.0,0,0,0,0,35,5,18,0,0.0,3,0,4,0,0
0,0.0,0,0,0,0,56,3,21,0,0.0,3,0,10,0,0
1,0.081632653,1,0,0,0,49,5,22,0,0.0,3,0,7,0,0
0,0.0,0,0,0,0,41,4,20,0,0.0,3,0,7,0,0
1,0.273809524,1,0,1,0,84,5,20,0,0.0,13,0,32,0,1
0,0.0,1,0,0,0,29,3,20,0,0.0,3,0,0,0,0
0,0.0,0,0,0,0,21,3,12,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,35,3,13,0,0.0,3,0,5,0,0
0,0.0,0,0,0,0,28,3,19,0,0.0,3,0,0,0,0
0,0.0,1,0,0,1,97,7,25,1,0.0,3,0,8,0,1
0,0.0,1,0,0,0,36,4,14,0,0.0,10,0,13,0,1
1,0.0,1,0,0,0,63,4,19,0,0.0,3,1,9,0,0
0,0.0,1,0,0,0,24,2,17,0,0.0,11,0,0,0,0
1,0.025,1,0,0,0,40,2,33,0,0.03030303,8,0,0,0,1
1,0.0,1,5,0,0,85,10,17,0,0.0,12,1,8,0,1
1,0.107142857,1,0,0,0,56,3,39,0,0.153846154,1,0,4,0,1
1,0.0,1,1,0,0,49,6,11,0,0.0,6,0,8,0,1
1,0.0,1,0,0,0,23,3,10,0,0.0,7,0,4,0,1
1,0.0,1,3,0,0,64,7,16,0,0.0,12,1,7,0,1
1,0.043478261,1,0,0,0,46,6,20,0,0.0,4,1,6,0,1
1,0.0,1,0,0,0,36,5,9,0,0.0,6,0,5,0,1
0,0.068965517,1,0,0,0,29,2,22,0,0.090909091,6,0,0,0,0
1,0.054545455,1,0,0,0,55,4,28,0,0.035714286,4,1,18,0,1
0,0.0,1,0,0,0,45,3,25,0,0.0,3,0,12,0,0
0,0.0,1,0,0,0,33,3,25,0,0.0,3,0,0,0,0
1,0.398268398,1,5,1,1,231,6,23,3,0.0,16,1,64,0,1
1,0.0,1,0,0,0,30,3,17,0,0.0,3,0,4,0,1
0,0.0,1,0,0,0,31,3,23,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,27,3,18,0,0.0,3,1,0,0,0
1,0.259259259,1,0,1,0,81,5,27,0,0.0,3,0,32,0,1
0,0.120689655,1,0,1,0,58,3,16,0,0.0,3,0,8,0,0
0,0.0,1,0,0,0,28,3,19,0,0.0,6,0,0,0,0
0,0.0,0,0,0,0,25,3,16,0,0.0,3,0,0,0,0
1,0.022988506,1,0,0,0,87,7,13,0,0.0,9,0,10,0,1
1,0.0,1,0,0,0,28,3,19,0,0.0,6,0,0,0,0
1,0.060150376,0,0,0,0,133,8,13,0,0.0,4,0,13,0,0
0,0.0,0,0,0,0,26,3,17,0,0.0,3,0,0,0,0
1,0.0,1,0,0,0,36,6,15,0,0.0,12,0,5,0,1
0,0.0,0,1,0,0,29,3,15,0,0.0,11,0,5,0,1
1,0.0,1,0,0,0,37,3,28,0,0.0,7,1,0,0,1
0,0.0,0,0,0,0,33,3,24,0,0.0,3,0,0,0,0
0,0.0,0,0,0,0,47,3,15,0,0.0,3,0,8,0,0
0,0.115384615,0,0,0,0,26,3,17,0,0.176470588,3,0,0,0,0
1,0.021505376,1,0,0,1,93,6,22,1,0.0,5,1,8,0,1
0,0.0,1,0,0,0,44,4,27,0,0.0,3,0,8,0,0
1,0.0,1,0,0,0,34,3,26,0,0.0,8,0,0,0,1
0,0.0,1,0,0,0,63,4,22,0,0.0,3,0,7,0,0
1,0.1607142859999999,1,0,0,0,56,3,36,0,0.166666667,1,0,6,0,1
1,0.107142857,1,0,0,0,28,2,20,0,0.15,7,0,0,0,1
0,0.0,1,0,0,0,51,3,21,0,0.0,2,0,6,0,0
1,0.06,1,0,0,0,50,4,16,0,0.0,12,0,9,0,1
0,0.085714286,0,0,0,0,70,6,17,0,0.0,3,1,11,0,0
0,0.048780488,1,0,0,1,41,4,12,1,0.0,3,0,9,0,0
0,0.094594595,1,0,1,0,74,4,17,0,0.0,3,0,14,0,0
0,0.0,1,0,0,0,26,3,17,0,0.0,3,0,0,0,0
0,0.052631579,1,0,0,0,114,5,19,0,0.0,3,0,10,0,0
1,0.0,1,3,0,0,49,4,26,0,0.0,23,1,8,0,1
0,0.0,0,0,0,0,26,3,17,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,42,5,14,0,0.0,3,1,7,0,0
0,0.0,0,0,0,0,28,3,19,0,0.0,16,0,0,0,0
0,0.0,0,0,0,0,29,3,20,0,0.0,3,0,0,0,0
1,0.0,1,0,0,0,32,4,15,0,0.0,3,0,8,0,0
1,0.029411765,1,0,0,0,34,3,25,0,0.04,6,1,0,0,1
1,0.0,1,0,0,1,51,4,27,1,0.0,2,1,5,0,1
0,0.0,0,1,0,0,78,4,17,0,0.0,3,0,11,0,0
1,0.0,1,0,0,0,43,3,29,0,0.0,3,0,6,1,1
1,0.090909091,1,0,0,1,154,7,28,2,0.0,2,1,46,0,1
0,0.0,1,0,0,0,35,3,26,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,54,3,22,0,0.0,3,0,11,0,0
0,0.0,0,0,0,0,35,3,27,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,25,3,16,0,0.0,7,0,0,0,0
0,0.0,1,0,0,0,27,3,19,0,0.0,3,0,0,0,0
1,0.147540984,1,1,1,1,61,5,12,1,0.75,2,0,16,1,1
1,0.0,1,0,0,0,41,3,30,0,0.0,3,0,3,0,1
1,0.0,1,0,0,0,47,6,13,0,0.0,9,0,6,0,1
0,0.0,0,0,0,0,19,3,11,0,0.0,3,0,0,0,0
0,0.0,1,0,0,0,38,3,18,0,0.0,3,0,7,0,0
0,0.09375,1,0,0,0,64,5,19,0,0.0,3,1,12,0,0
1,0.3099631,1,3,1,1,271,10,20,3,0.0,3,0,64,0,1
1,0.0,0,2,0,0,50,7,10,0,0.0,7,0,13,0,1
0,0.0875,1,0,1,0,80,5,23,0,0.0,6,0,7,0,0
